Conference,Year,Title,Author,Affiliation
ICLR,2018,Deep Complex Networks,Chiheb Trabelsi,Montreal Institute for Learning Algorithms / Polytechnique Montréal
ICLR,2018,Deep Complex Networks,Olexa Bilaniuk,Université de Montréal
ICLR,2018,Deep Complex Networks,Ying Zhang,Element AI
ICLR,2018,Deep Complex Networks,Dmitrii Serdyuk,Montreal Institute for Learning Algorithms
ICLR,2018,Deep Complex Networks,Sandeep Subramanian,Université de Montréal
ICLR,2018,Deep Complex Networks,Joao Felipe Santos,Montreal Institute for Learning Algorithms
ICLR,2018,Deep Complex Networks,Soroush Mehri,"MSR, Montreal"
ICLR,2018,Deep Complex Networks,Negar Rostamzadeh,Element AI
ICLR,2018,Deep Complex Networks,Yoshua Bengio,University of Montreal
ICLR,2018,Deep Complex Networks,Chris Pal,Polytechnique Montréal & MILA
ICLR,2018,Universal Agent for Disentangling Environments and Tasks,Jiayuan Mao,Tsinghua University
ICLR,2018,Universal Agent for Disentangling Environments and Tasks,Honghua Dong,Tsinghua University
ICLR,2018,Universal Agent for Disentangling Environments and Tasks,Joseph J Lim,Stanford University
ICLR,2018,Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect,Xiang Wei,"School of Software Engineering, Beijing Jiaotong University"
ICLR,2018,Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect,Boqing Gong,University of Southern California
ICLR,2018,Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect,Zixia Liu,None
ICLR,2018,Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect,Wei Lu,None
ICLR,2018,Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect,Liqiang Wang,University of Central Florida
ICLR,2018,Fraternal Dropout,Konrad Zolna,"Universite de Montreal, Jagiellonian University"
ICLR,2018,Fraternal Dropout,Devansh Arpit,None
ICLR,2018,Fraternal Dropout,Dendi Suhubdy,University of Montreal
ICLR,2018,Fraternal Dropout,Yoshua Bengio,University of Montreal
ICLR,2018,Learning an Embedding Space for Transferable Robot Skills,Karol Hausman,University of Southern California
ICLR,2018,Learning an Embedding Space for Transferable Robot Skills,Jost Tobias Springenberg,University of Freiburg
ICLR,2018,Learning an Embedding Space for Transferable Robot Skills,ziyu wang,"Department of Computer Science, University of Oxford"
ICLR,2018,Learning an Embedding Space for Transferable Robot Skills,Nicolas Heess,None
ICLR,2018,Learning an Embedding Space for Transferable Robot Skills,Martin Riedmiller,None
ICLR,2018,Hierarchical Density Order Embeddings,Ben Athiwaratkun,Cornell University
ICLR,2018,Hierarchical Density Order Embeddings,Andrew G Wilson,None
ICLR,2018,Model compression via distillation and quantization,Antonio Polino,ETH Zurich
ICLR,2018,Model compression via distillation and quantization,Razvan Pascanu,DeepMind
ICLR,2018,Model compression via distillation and quantization,Dan Alistarh,None
ICLR,2018,Maximum a Posteriori Policy Optimisation,abbas abdolmaleki,Google DeepMind
ICLR,2018,Maximum a Posteriori Policy Optimisation,Jost Tobias Springenberg,University of Freiburg
ICLR,2018,Maximum a Posteriori Policy Optimisation,Nicolas Heess,None
ICLR,2018,Maximum a Posteriori Policy Optimisation,Yuval Tassa,Google DeepMind
ICLR,2018,Maximum a Posteriori Policy Optimisation,Remi Munos,DeepMind
ICLR,2018,MaskGAN: Better Text Generation via Filling in the _______,William Fedus,University of Montreal
ICLR,2018,MaskGAN: Better Text Generation via Filling in the _______,Ian Goodfellow,Google Brain
ICLR,2018,MaskGAN: Better Text Generation via Filling in the _______,Andrew Dai,Google Brain
ICLR,2018,Kronecker-factored Curvature Approximations for Recurrent Neural Networks,James Martens,DeepMind
ICLR,2018,Kronecker-factored Curvature Approximations for Recurrent Neural Networks,Jimmy Ba,University of Toronto
ICLR,2018,Kronecker-factored Curvature Approximations for Recurrent Neural Networks,Matthew Johnson,None
ICLR,2018,Scalable Private Learning with PATE,Nicolas Papernot,Pennsylvania State University
ICLR,2018,Scalable Private Learning with PATE,Shuang Song,"University of California, San Diego"
ICLR,2018,Scalable Private Learning with PATE,Ilya Mironov,Google
ICLR,2018,Scalable Private Learning with PATE,Ananth Raghunathan,Google
ICLR,2018,Scalable Private Learning with PATE,Kunal Talwar,Microsoft
ICLR,2018,Scalable Private Learning with PATE,Ulfar Erlingsson,Google Brain
ICLR,2018,Online Learning Rate Adaptation with Hypergradient Descent,Atilim Gunes Baydin,University of Oxford
ICLR,2018,Online Learning Rate Adaptation with Hypergradient Descent,Robert Cornish,Monash University
ICLR,2018,Online Learning Rate Adaptation with Hypergradient Descent,David Martínez,University of Oxford
ICLR,2018,Online Learning Rate Adaptation with Hypergradient Descent,Mark Schmidt,UBC
ICLR,2018,Online Learning Rate Adaptation with Hypergradient Descent,Frank Wood,University of British Columbia
ICLR,2018,Relational Neural Expectation Maximization: Unsupervised Discovery of Objects and their Interactions,Sjoerd van Steenkiste,The Swiss AI Lab - IDSIA
ICLR,2018,Relational Neural Expectation Maximization: Unsupervised Discovery of Objects and their Interactions,Michael Chang,"University of California, Berkeley"
ICLR,2018,Relational Neural Expectation Maximization: Unsupervised Discovery of Objects and their Interactions,Klaus Greff,IDSIA
ICLR,2018,Relational Neural Expectation Maximization: Unsupervised Discovery of Objects and their Interactions,Jürgen Schmidhuber,"NNAISENSE, Swiss AI Lab IDSIA (USI & SUPSI)"
ICLR,2018,Learning Awareness Models,Brandon Amos,Carnegie Mellon University
ICLR,2018,Learning Awareness Models,Laurent Dinh,Google
ICLR,2018,Learning Awareness Models,Serkan Cabi,DeepMind
ICLR,2018,Learning Awareness Models,Thomas Rothörl,None
ICLR,2018,Learning Awareness Models,Sergio Gómez Colmenarejo,Google DeepMind
ICLR,2018,Learning Awareness Models,Alistair M Muldal,DeepMind
ICLR,2018,Learning Awareness Models,Tom Erez,"Department of Computer Science, University of Washington"
ICLR,2018,Learning Awareness Models,Yuval Tassa,Google DeepMind
ICLR,2018,Learning Awareness Models,Nando d Freitas,None
ICLR,2018,Learning Awareness Models,Misha Denil,[ERROR]
